query	clarifying_question	flag
would you rather read some reviews about avp antivirus	are you looking for historical information about the indiana state fairgrounds	0
Tell me about hotels in New York.	what is your price range	1
I’m looking for blue throated hummingbird	do you want to learn more about how blue throated hummingbirds mate	1
would you like to know where to get treatment	looking for shops that sell the board game memory	0
would you like to file your income tax return online	are you referring to fred rogers	0
would you like to know where to buy one	do you what to know about interpretation of decease in dreams	0
Tell me about er television show.	do you want to know awards er has won	1
Find me information on sat	do you need more information about the sat test	1
Tell me information about Volvo.	are you interested in the size of the company	1
do you want information on treatments for fibromyalgia	would you like news about old town scottsdale	0
do you need instructions on how to dye your hair	what facts did you want to know about fidel castro	0
are you interested in learning more about satellite phones or radio	are you interested in learning more about satellite phones or radio	0
are you interested in buying tickets to a raffle	what dates are you planning on traveiing	0
are you trying to find out about the kcs mental health clinic	are you interested in barbados ecology	0
are you wondering about the history of pampered chef	wich size	0
would you like to become a pampered chef consultant	are you wanting to renovate your home in order to have a theater system	0
are you interested in visiting ontario california airport	are you interested in the side effects of the common schizophrenia drugs	0
do you want to know about the cause of von willebrand disease	are you interested in learning about arkansas	0
Tell me about furniture for small spaces.	are you looking for furniture for a specific room	1
Tell me about kansas city mo	are you interested in hallmark visitors center	1
would you like to know maore about getting the best used car parts	are you interested in the salary of an occupational therapist	0
are you looking for toilet cleaners	what is your heart rate	0
do you want to know a list of top gmat prep classes	are you interested in what their job duties are	0
would you like to know what their rating is compare to other car companies	are you looking for attractions near churchill downs	0
do you want black and white or colored designs	are you looking for lipoma removal	0
Give me information about Disneyland hotel.	are you looking for details about disneyland hotels	1
are you looking for some medication	are you asking about the battles in the american revolution	0
Find information about elliptical trainer	would you like to know where you can buy a discounted or used elliptical trainer	1
do you want to know where the uss yorktown is currently located	are you interested in weather strips for windows	0
what size motor does the ford edge with problems have	are you interested in boris pasternak	0
did you want to know the amount of tourism dutchess county gets	how experienced are you at sewing	0
are you looking for things to do around that area	are you looking for black history figures	0
do you want to know who is eligible for the tangible personal property tax	would you like a list of stores that sell home theater systems	0
what variety of figs are you interested in	do you want to learn about unc the school	0
tell me about memory	dio you want to know how memory is formed	1
are you wondering what pampered chef sells	would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance	0
Tell me information about computer programming.	are you looking to see how much computer programming lessons cost	1
are you looking for who invented the first instruments	are you interested in home remedies for angular cheilitis	0
